TRAIL_NO,TRAIL_NAME,TRAIL_TYPE,TRAIL_CN,BMP,EMP,SEGMENT_LENGTH,ADMIN_ORG,MANAGING_ORG,SECURITY_ID,ATTRIBUTESUBSET,NATIONAL_TRAIL_DESIGNATION,TRAIL_CLASS,TERRA_BASE_SYMBOLOGY,ACCESSIBILITY_STATUS,TRAIL_SURFACE,SURFACE_FIRMNESS,TYPICAL_TRAIL_GRADE,TYPICAL_TREAD_WIDTH,MINIMUM_TRAIL_WIDTH,TYPICAL_TREAD_CROSS_SLOPE,SPECIAL_MGMT_AREA,MVUM_SYMBOL,ALLOWED_TERRA_USE,ALLOWED_SNOW_USE,HIKER_PEDESTRIAN_MANAGED,HIKER_PEDESTRIAN_ACCPT_DISC,HIKER_PEDESTRIAN_RESTRICTED,PACK_SADDLE_MANAGED,PACK_SADDLE_ACCPT_DISC,PACK_SADDLE_RESTRICTED,BICYCLE_MANAGED,BICYCLE_ACCPT_DISC,BICYCLE_RESTRICTED,MOTORCYCLE_MANAGED,MOTORCYCLE_ACCPT_DISC,MOTORCYCLE_RESTRICTED,ATV_MANAGED,ATV_ACCPT_DISC,ATV_RESTRICTED,FOURWD_MANAGED,FOURWD_ACCPT_DISC,FOURWD_RESTRICTED,SNOWMOBILE_MANAGED,SNOWMOBILE_ACCPT_DISC,SNOWMOBILE_RESTRICTED,SNOWSHOE_MANAGED,SNOWSHOE_ACCPT_DISC,SNOWSHOE_RESTRICTED,XCOUNTRY_SKI_MANAGED,XCOUNTRY_SKI_ACCPT_DISC,XCOUNTRY_SKI_RESTRICTED,MOTOR_WATERCRAFT_MANAGED,MOTOR_WATERCRAFT_ACCPT_DISC,MOTOR_WATERCRAFT_RESTRICTED,NONMOTOR_WATERCRAFT_MANAGED,NONMOTOR_WATERCRAFT_ACCPT_DISC,NONMOTOR_WATERCRAFT_RESTRICTED,GIS_MILES,TERRA_MOTORIZED,SNOW_MOTORIZED,WATER_MOTORIZED,OBJECTID,SHAPE_Length
7483,BURNETT TO DRY CANYON,TERRA,1894010495,0,4.21,4.21,041557,041557,0415,TrailNFS_Basic,1,3,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,4.221,N/A,N/A,N/A,652,9123.5075951921
5001B,TERRACE CYN-BECHLER CK CONNECT,TERRA,22009010602,0,0.069,0.069,041555,041555,0415,TrailNFS_Basic,1,2,TC1-2,,NAT - NATIVE MATERIAL,,8-10%,,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0.066,N/A,N/A,N/A,653,152.239542026557
7406,CHERRY CREEK TO CHICKEN CREEK,TERRA,1887010495,0,3.1025,3.1025,041557,041557,0415,TrailNFS_Basic,1,3,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,2.994,N/A,N/A,N/A,654,6745.25304433184
5010,EAST FORK HYDE CANYON CREEK,TERRA,22015010602,0,1.066,1.066,041555,041555,0415,TrailNFS_Basic,1,2,TC1-2,,NAT - NATIVE MATERIAL,,8-10%,,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1.03,N/A,N/A,N/A,655,2340.29919003959
7420,NEW CANYON TO THIRD CREEK,TERRA,1886010495,7.076,8.26,1.184,041557,041557,0415,TrailNFS_Basic,1,3,TC3,,NAT - NATIVE MATERIAL,,8-10%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1.217,N/A,N/A,N/A,656,2577.03198878326
1137,LITTLE TABLE,TERRA,2125010495,0,2.41,2.41,041551,041551,0415,TrailNFS_Basic,1,3,TC3,,NAT - NATIVE MATERIAL,,20-30%,TW05 - 36-48 INCHES,40 INCHES,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,2.711,N/A,N/A,N/A,657,5980.89849136031
2015,RAILROAD GRADE CONNECTOR,TERRA,212740010602,0,0.47,0.47,041552,041552,0415,TrailNFS_Basic,1,2,TC1-2,,NAT - NATIVE MATERIAL,,0-5%,TW02 - 12-18 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0.467,N/A,N/A,N/A,658,1051.54616978642
5001C,TERRACE CYN-STUMP CONNECTOR,TERRA,22010010602,0,0.077,0.077,041555,041555,0415,TrailNFS_Basic,1,2,TC1-2,,NAT - NATIVE MATERIAL,,8-10%,,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0.074,N/A,N/A,N/A,659,168.747855905866
7416,ASPEN HOLLOW TO CHICKEN CREEK,TERRA,1888010495,0,2.939,2.939,041557,041557,0415,TrailNFS_Basic,1,3,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,2.967,N/A,N/A,N/A,660,6401.68073409057
7225,HORNET CANYON,TERRA,2162010495,0,2.351,2.351,041557,041557,0415,TrailNFS_Basic,1,3,TC3,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,8-10%,,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,2.299,N/A,N/A,N/A,661,5158.4230293299
